scenario_id,scenario_path,intersection_layout,time,time_of_day,scenario_id.1,vehicles,conflict,weather,conflict_detect_at,scenario_images_path
3213,frames_dataset/scenarios/4_ways_scenarios/scenario_3213,4 ways,14:06:31,afternoon,3213,1,no,sunny,,"{'frame_5.jpg': 'https://drive.google.com/uc?id=188ymncMKe2aXBb1DhmNJ4lcKzKf6we7G', 'frame_4.jpg': 'https://drive.google.com/uc?id=1892q4p2fpP4v08lEZ33FdE9iwlIkJnRm', 'frame_3.jpg': 'https://drive.google.com/uc?id=18A49XenhMWKyNl6vdsZnkVcc-l5w8NKu', 'frame_2.jpg': 'https://drive.google.com/uc?id=18ASCwWx5-NnZtaNhzi3PDtvn6Ac5iMc2', 'frame_1.jpg': 'https://drive.google.com/uc?id=18CpC4dhyXQa1ZS-XA-NbsTomy3PNFZz6'}"
6076,frames_dataset/scenarios/4_ways_scenarios/scenario_6076,4 ways,15:54:10,afternoon,6076,3,yes,cloudy,"north,south","{'frame_5.jpg': 'https://drive.google.com/uc?id=1R3pds-7N8Oq3t8DBnId1cMiBcAwCWlm8', 'frame_4.jpg': 'https://drive.google.com/uc?id=1R6ShNkR7s2v83ikYBE5BKqWyAz8e6m2I', 'frame_3.jpg': 'https://drive.google.com/uc?id=1R87ybdsZinbOEuznEHvYtxZPcSbVq55b', 'frame_2.jpg': 'https://drive.google.com/uc?id=1RBiuF4iUP257UPVha8EeTqWE9URAGap3', 'frame_1.jpg': 'https://drive.google.com/uc?id=1RC2EJPLbeNw7tIxV4GYI3tWI1xD6LIXG'}"
3829,frames_dataset/scenarios/4_ways_scenarios/scenario_3829,4 ways,16:43:43,afternoon,3829,2,yes,sunny,west,"{'frame_5.jpg': 'https://drive.google.com/uc?id=1KdX-_x4c5WHft4W3rRMbgwl3ikYuq5wj', 'frame_4.jpg': 'https://drive.google.com/uc?id=1KdkthxGT7ekGdMgCr8ZuOZSS8EjAElZj', 'frame_3.jpg': 'https://drive.google.com/uc?id=1KecQhg43BuUkzqG1w5aFxG2iE2EE5skb', 'frame_2.jpg': 'https://drive.google.com/uc?id=1Kf2stMg6ULKGN6sRaTEImk5mBJKkggU_', 'frame_1.jpg': 'https://drive.google.com/uc?id=1Kfo7wRJ2gPbRxcfKRw6qYP3oH4LFKvNj'}"
3038,frames_dataset/scenarios/4_ways_scenarios/scenario_3038,4 ways,13:21:00,afternoon,3038,3,yes,sunny,north,"{'frame_5.jpg': 'https://drive.google.com/uc?id=1_F7jDMZ7dpyuRYlB4_m1RHUilfqnTDIF', 'frame_4.jpg': 'https://drive.google.com/uc?id=1_Hv6bHDEghWPdD8-dxmC9pPKS1obnRyY', 'frame_3.jpg': 'https://drive.google.com/uc?id=1_ICyQT_-sGA2ZNgAKDyT8GmDiUGBpvau', 'frame_2.jpg': 'https://drive.google.com/uc?id=1_KvynZ_Tf97C0KpEI2QR5ieDEYU_HWX0', 'frame_1.jpg': 'https://drive.google.com/uc?id=1_LAbPDe1vX_UrWCZzm6H9vbK5bTnL85n'}"
2902,frames_dataset/scenarios/4_ways_scenarios/scenario_2902,4 ways,8:43:49,morning,2902,1,no,sunny,,"{'frame_5.jpg': 'https://drive.google.com/uc?id=1DkOrDo3LyQ54GXXJjgdB4AheNwcI7zUX', 'frame_4.jpg': 'https://drive.google.com/uc?id=1Dp7YkeKJNQfAFzGchKOPjrvNaBFpUriZ', 'frame_3.jpg': 'https://drive.google.com/uc?id=1DpU937G2MjitmfyskMZ9XHw9wznotRUU', 'frame_2.jpg': 'https://drive.google.com/uc?id=1DruSYfO5uU7wN0Mo_-HqYG9CGisBk5xm', 'frame_1.jpg': 'https://drive.google.com/uc?id=1DrwGvnmjc4rf616agvT3g28nGIOhfHeM'}"
2786,frames_dataset/scenarios/4_ways_scenarios/scenario_2786,4 ways,7:53:59,morning,2786,1,no,sunny,,"{'frame_5.jpg': 'https://drive.google.com/uc?id=1jzRq2GkdWB0AA0si3BH5-wRAmUGAl9iY', 'frame_4.jpg': 'https://drive.google.com/uc?id=1k0FaHpbiRIBuOLAJ5U3VqfUFg8jNMWyS', 'frame_3.jpg': 'https://drive.google.com/uc?id=1k3uk6sItLCBkGhfcdbrchYn2xiTMaZgD', 'frame_2.jpg': 'https://drive.google.com/uc?id=1k49YdzXytS9DrdNenmHq6vvEJ0ERnCoF', 'frame_1.jpg': 'https://drive.google.com/uc?id=1k7NQNb2AdwOc8lTYzluGy35IcitPttJb'}"
3754,frames_dataset/scenarios/4_ways_scenarios/scenario_3754,4 ways,16:19:06,afternoon,3754,3,no,sunny,,"{'frame_5.jpg': 'https://drive.google.com/uc?id=18n0H6bnABwN404XkuOqE4A1C5U8fc4Bx', 'frame_4.jpg': 'https://drive.google.com/uc?id=18nf2ByoeCXrFsmpm0VBwVOVZe0OtBbCg', 'frame_3.jpg': 'https://drive.google.com/uc?id=18o-_ucLQZM8MMqPN-DnGY6Kfy-eCAya0', 'frame_2.jpg': 'https://drive.google.com/uc?id=18q-NqtCm9ZJiqDT670bDFQcFKh4GmOyk', 'frame_1.jpg': 'https://drive.google.com/uc?id=18r8_YaQg9dyl8Ti7wgxVwTtOhHwjfBYx'}"
4335,frames_dataset/scenarios/4_ways_scenarios/scenario_4335,4 ways,10:20:46,morning,4335,3,no,sunny,,"{'frame_5.jpg': 'https://drive.google.com/uc?id=1IYg2HrvdSAZiMd_176PRkEvulBuOFu02', 'frame_4.jpg': 'https://drive.google.com/uc?id=1IZ-BMo8JLAWtF7rBNm5GsL6arCvct3U1', 'frame_3.jpg': 'https://drive.google.com/uc?id=1I_dVn378uS-kpwBLODIU29PeYJht86Lk', 'frame_2.jpg': 'https://drive.google.com/uc?id=1IawwUvayHwkHVMrgandMgJeJbAqa3yPl', 'frame_1.jpg': 'https://drive.google.com/uc?id=1IcO3RTo8Q2XKP46unU3Od0kwsZM7F-is'}"
2998,frames_dataset/scenarios/4_ways_scenarios/scenario_2998,4 ways,13:00:06,afternoon,2998,1,no,sunny,,"{'frame_5.jpg': 'https://drive.google.com/uc?id=1UBW6J_JYP3X-478QXhWO8VDBgcAYXJs5', 'frame_4.jpg': 'https://drive.google.com/uc?id=1UFx-H9t1n3WCAtCl0grwJ63teehobuC8', 'frame_3.jpg': 'https://drive.google.com/uc?id=1UG_gVOXgy8_lgzUhkwucj8Y0S4vn4GQC', 'frame_2.jpg': 'https://drive.google.com/uc?id=1UInQW3VOmaZ_-qTIPaRJfA0N08IkV1JX', 'frame_1.jpg': 'https://drive.google.com/uc?id=1UIpvPTiwUJWIvK9VR0vPFL14Dtsywem1'}"
4277,frames_dataset/scenarios/4_ways_scenarios/scenario_4277,4 ways,10:20:46,morning,4277,2,no,sunny,,"{'frame_5.jpg': 'https://drive.google.com/uc?id=1BE-DoBosdVxYQovUpORAQha1eiopoQy8', 'frame_4.jpg': 'https://drive.google.com/uc?id=1BEH7yLi3pMCEyKhFUrgyxBAN9jl6MsLu', 'frame_3.jpg': 'https://drive.google.com/uc?id=1BEqlRIm8gwntuk_qXE3iEsyOHzpwf9oQ', 'frame_2.jpg': 'https://drive.google.com/uc?id=1BFINSnz8jp7yv_EHztCj31rTVGfSjv1Q', 'frame_1.jpg': 'https://drive.google.com/uc?id=1BG3vjfYXJbtrxjVEX8X83wyibab4-PUq'}"
2738,frames_dataset/scenarios/4_ways_scenarios/scenario_2738,4 ways,7:31:03,morning,2738,2,no,sunny,,"{'frame_5.jpg': 'https://drive.google.com/uc?id=1Ob5OVWGxZkvO83qVgEYvahWtv9MdxJUO', 'frame_4.jpg': 'https://drive.google.com/uc?id=1ObM_-AmlRL72QeWTioHj9StF8uAOkbkl', 'frame_3.jpg': 'https://drive.google.com/uc?id=1ObxgSFkumeJVF6Qc1_PGvPDqKULgSGf7', 'frame_2.jpg': 'https://drive.google.com/uc?id=1OfmKp9YP1nz8qzfnUVEz7DfeCV4LLQcE', 'frame_1.jpg': 'https://drive.google.com/uc?id=1OiKDNAq3THO58LXW1qzde1jetjXDqgEX'}"
6149,frames_dataset/scenarios/4_ways_scenarios/scenario_6149,4 ways,16:18:54,afternoon,6149,3,yes,cloudy,north,"{'frame_5.jpg': 'https://drive.google.com/uc?id=1bR1hpP5OvkWuq6v1L0nphWU_LYOSQw9m', 'frame_4.jpg': 'https://drive.google.com/uc?id=1bRTYlWMGP5ioSjPU0JPUUJpJ7ffRARTP', 'frame_3.jpg': 'https://drive.google.com/uc?id=1bW2VrSTQKjERmUo6LWL-0om_4mGWanJJ', 'frame_2.jpg': 'https://drive.google.com/uc?id=1bX2VUgG--9CX61g5Liaq2Xm10xZd2wWj', 'frame_1.jpg': 'https://drive.google.com/uc?id=1bXp7W04XIvjkacsndsR8U8EwO6Wq6LD6'}"
2750,frames_dataset/scenarios/4_ways_scenarios/scenario_2750,4 ways,7:53:59,morning,2750,1,no,sunny,,"{'frame_5.jpg': 'https://drive.google.com/uc?id=1Yd2thmGeI1S4wFGw8E1sR6i_fRXbD2Ft', 'frame_4.jpg': 'https://drive.google.com/uc?id=1YdvRCrdom_XqKqv-AG3B8jjiw2R8Ky47', 'frame_3.jpg': 'https://drive.google.com/uc?id=1YqMnOzACINcmZ0vnqniEXno7erIN2HUW', 'frame_2.jpg': 'https://drive.google.com/uc?id=1YrrGu93lqr3W4tLMshy_4Sdj1oU_ufWY', 'frame_1.jpg': 'https://drive.google.com/uc?id=1Ywy9eeM5Tz9ZS2gtWWvXfImlGAG6H703'}"
4353,frames_dataset/scenarios/4_ways_scenarios/scenario_4353,4 ways,10:41:48,morning,4353,3,yes,sunny,south,"{'frame_5.jpg': 'https://drive.google.com/uc?id=1M0esBg4Vymyw7fey1HahSjkIwUHM1j0R', 'frame_4.jpg': 'https://drive.google.com/uc?id=1M17B2GNLzwYsnINfNuWGSGcgQetCu0oG', 'frame_3.jpg': 'https://drive.google.com/uc?id=1M2gFpQ3N1DtqqRbzUJf2vipti0K2n5tI', 'frame_2.jpg': 'https://drive.google.com/uc?id=1M3LtZ3FLj5qQYXMZUqliKcPfYExoPUJ0', 'frame_1.jpg': 'https://drive.google.com/uc?id=1M3YGA_f9ZIzIfPE792w6SVs-SMvT3bHP'}"
4347,frames_dataset/scenarios/4_ways_scenarios/scenario_4347,4 ways,10:41:48,morning,4347,4,yes,sunny,north,"{'frame_5.jpg': 'https://drive.google.com/uc?id=1LKf-3liWvIQnx_B0wru8BKCl82LiwQgj', 'frame_4.jpg': 'https://drive.google.com/uc?id=1LPwiPijKvQjjKV5XTdGJJAZ-v0oWi7Pi', 'frame_3.jpg': 'https://drive.google.com/uc?id=1LQnQwozbEVOWtUzt7YfluwCEWir6yxEb', 'frame_2.jpg': 'https://drive.google.com/uc?id=1LR6jyNz7-zDkHr2_NoCjOTEHGpv-fhTy', 'frame_1.jpg': 'https://drive.google.com/uc?id=1LS2G_c0dKr_GUYZiGW_334yQb8G8leJ7'}"
6091,frames_dataset/scenarios/4_ways_scenarios/scenario_6091,4 ways,15:54:10,afternoon,6091,2,yes,cloudy,south,"{'frame_5.jpg': 'https://drive.google.com/uc?id=1VBHL0fW_7ViFNarIZM2yEdVO_jjPukst', 'frame_4.jpg': 'https://drive.google.com/uc?id=1VEQ9I2M_U_iHE8oekTOYeGEySyNsvR-n', 'frame_3.jpg': 'https://drive.google.com/uc?id=1VFoCjgG6K8tTyhKxUN_Yfy77UtTXG0fr', 'frame_2.jpg': 'https://drive.google.com/uc?id=1VGBS04C7DSUXGCVQMC3NFaTfUNGShyNx', 'frame_1.jpg': 'https://drive.google.com/uc?id=1VGrbB8kCkMqV-SGI6mxxhLr-bSQJfQGP'}"
4182,frames_dataset/scenarios/4_ways_scenarios/scenario_4182,4 ways,10:00:06,morning,4182,2,no,sunny,,"{'frame_5.jpg': 'https://drive.google.com/uc?id=10Y83L4Ita4_ffZRuIikMaVAASwRlGSmo', 'frame_4.jpg': 'https://drive.google.com/uc?id=10YYuqnXU8hcN9XCfY47_dkG8iJ-kCg8_', 'frame_3.jpg': 'https://drive.google.com/uc?id=10_CUuMuo_nH-FszSdU2qoq8HC2R_EcB2', 'frame_2.jpg': 'https://drive.google.com/uc?id=10b1qzvoCetPQgMeqr-xw8oo6MoTbrh9o', 'frame_1.jpg': 'https://drive.google.com/uc?id=10dIE1HEY6ixPY8Wdn0kv1YyVvYUK7eXG'}"
2844,frames_dataset/scenarios/4_ways_scenarios/scenario_2844,4 ways,8:19:45,morning,2844,2,yes,sunny,,"{'frame_5.jpg': 'https://drive.google.com/uc?id=10u37m26peDXsDuv1gHFjiANs_O7oXmsk', 'frame_4.jpg': 'https://drive.google.com/uc?id=10ufk9e55i9XafpJ1B6UKO5FDQ_1TxqFl', 'frame_3.jpg': 'https://drive.google.com/uc?id=10wYHY6oJyrxUlVqHYJv8mG6ZxOEpZ8Q1', 'frame_2.jpg': 'https://drive.google.com/uc?id=10wzjr2S5pJtsFQkqvxYYYS2pli4O5_O4', 'frame_1.jpg': 'https://drive.google.com/uc?id=10yApSI63IoSbY6oBW4CVfI7D-3ZHqGiI'}"
4217,frames_dataset/scenarios/4_ways_scenarios/scenario_4217,4 ways,10:00:06,morning,4217,3,yes,sunny,east,"{'frame_5.jpg': 'https://drive.google.com/uc?id=13TO4Jtpe-wJbxdI0XKJ7K-vybyxnmny-', 'frame_4.jpg': 'https://drive.google.com/uc?id=13Th7L4AbwsMHPcNv1V3eq3FCzsY5Ol3H', 'frame_3.jpg': 'https://drive.google.com/uc?id=13UDM0GvYEgHH-__ThUsDbVxqKAUCi1-f', 'frame_2.jpg': 'https://drive.google.com/uc?id=13UHmsKLb-o-bvCprQqEPuaGD1NZ5FxrW', 'frame_1.jpg': 'https://drive.google.com/uc?id=13YB0513QGHKgwg5SNwyejQXXu65XNuSd'}"
4074,frames_dataset/scenarios/4_ways_scenarios/scenario_4074,4 ways,16:18:39,afternoon,4074,3,yes,cloudy,north,"{'frame_5.jpg': 'https://drive.google.com/uc?id=1n90_iYj92prTebasEx8ELHNKPCKcYQh0', 'frame_4.jpg': 'https://drive.google.com/uc?id=1nEZDJyiVEfAPRofD74OcK9w-TT8WwQeJ', 'frame_3.jpg': 'https://drive.google.com/uc?id=1nIqqFuNxs_uOpHevbog2kxonAZ9KtkVo', 'frame_2.jpg': 'https://drive.google.com/uc?id=1nIvs822bwjdFq2dJmbrl-HFJ72uMwYC5', 'frame_1.jpg': 'https://drive.google.com/uc?id=1nJEPhbZrMrx8V9kS6iRCf_6c8BqFDYXy'}"
3386,frames_dataset/scenarios/4_ways_scenarios/scenario_3386,4 ways,10:22:46,morning,3386,2,yes,sunny,,"{'frame_5.jpg': 'https://drive.google.com/uc?id=1g2ZCLIp_0lR3utqoyubkItf7jvbbdVEm', 'frame_4.jpg': 'https://drive.google.com/uc?id=1g4aLrjV5JWqCBsqPUcBByXV648Y7PhM7', 'frame_3.jpg': 'https://drive.google.com/uc?id=1g5m3DBzPursK0wx4_3xHPbk5HbEN27Cg', 'frame_2.jpg': 'https://drive.google.com/uc?id=1gA7ctWhzrDS68_7I_dVFIeImT9jdTsQp', 'frame_1.jpg': 'https://drive.google.com/uc?id=1gAreG0CCVWthwzsQUG5euGPbMZ5TvJ8R'}"
6079,frames_dataset/scenarios/4_ways_scenarios/scenario_6079,4 ways,15:54:10,afternoon,6079,2,no,cloudy,,"{'frame_5.jpg': 'https://drive.google.com/uc?id=1TpssR1bloDwxG_z3CzK14Uwd2oqCrfwc', 'frame_4.jpg': 'https://drive.google.com/uc?id=1TuZKV1I58iFBzGvbeOEkKIRkAmOwWBK_', 'frame_3.jpg': 'https://drive.google.com/uc?id=1TxbJFUbJSS1wmSoKib5uVXRwQPN0c_a_', 'frame_2.jpg': 'https://drive.google.com/uc?id=1TzrXDHPdkg_r58tqea4J-4c_OQsmeEcR', 'frame_1.jpg': 'https://drive.google.com/uc?id=1U-tUgumbssyzZrJb6g-85osC_ObG6ZPS'}"
3409,frames_dataset/scenarios/4_ways_scenarios/scenario_3409,4 ways,10:22:46,morning,3409,3,yes,sunny,north,"{'frame_5.jpg': 'https://drive.google.com/uc?id=1hzSRw1fVDl39cceebKo1A9WFjNk9v0_J', 'frame_4.jpg': 'https://drive.google.com/uc?id=1i2rUUhxDyBqfgG-2O7_bIgc28TIkED0C', 'frame_3.jpg': 'https://drive.google.com/uc?id=1i5H3jkdgiZ9rVnHJ-QNsbcXImDYRFoiT', 'frame_2.jpg': 'https://drive.google.com/uc?id=1iDaF7B3GyJg7SlrAeaCW1iF6VJ1eAvdX', 'frame_1.jpg': 'https://drive.google.com/uc?id=1iFMfeLS6ifnh-LBgsmXkmxJxroSFNKOL'}"
3203,frames_dataset/scenarios/4_ways_scenarios/scenario_3203,4 ways,14:06:31,afternoon,3203,2,yes,sunny,north,"{'frame_5.jpg': 'https://drive.google.com/uc?id=16_sudiygJBaL1-7y0hA3DyykgYgRK_M2', 'frame_4.jpg': 'https://drive.google.com/uc?id=16cjIiBLx-MiOuUj5xrNyaz9Cch-LKIfe', 'frame_3.jpg': 'https://drive.google.com/uc?id=16eM0t5SxSumHZ-zmbdaqI2NtclTU2ajS', 'frame_2.jpg': 'https://drive.google.com/uc?id=16euPfCkrcH5Ij_XhRrahkMxKY1kmnq-t', 'frame_1.jpg': 'https://drive.google.com/uc?id=16iTacbEjA0_4apDetUcoXCK_bwtaTaRR'}"
3769,frames_dataset/scenarios/4_ways_scenarios/scenario_3769,4 ways,16:19:06,afternoon,3769,2,yes,sunny,north,"{'frame_5.jpg': 'https://drive.google.com/uc?id=1DF-l5bKUNpGxeoD63qu-D443htdjfIPJ', 'frame_4.jpg': 'https://drive.google.com/uc?id=1DH5JONHRvC_kGCFmEPgtvB5eHeFj3W3L', 'frame_3.jpg': 'https://drive.google.com/uc?id=1DHNvH_unvuCpY8kkkajkQTeZRrv0uots', 'frame_2.jpg': 'https://drive.google.com/uc?id=1DKwG-pTOXGeJOvCO0f6gtfJQnqYW116b', 'frame_1.jpg': 'https://drive.google.com/uc?id=1DLUQIOsYTX-Jgk4ZOdSBq4jgEEDchiUH'}"
3478,frames_dataset/scenarios/4_ways_scenarios/scenario_3478,4 ways,10:47:12,morning,3478,2,no,sunny,,"{'frame_5.jpg': 'https://drive.google.com/uc?id=1wU83G9vBVfvnFMF3eNPkQsAuEIPdHfQf', 'frame_4.jpg': 'https://drive.google.com/uc?id=1wVzJYdP70PCQ36JZXcnxwVoQmAUScBf9', 'frame_3.jpg': 'https://drive.google.com/uc?id=1wWauQFarOdTr7IYK3TkSi8R9tAXxQKbH', 'frame_2.jpg': 'https://drive.google.com/uc?id=1wZWEKcV65n6anFxrfdChkMTshtSae4Mt', 'frame_1.jpg': 'https://drive.google.com/uc?id=1wbmW3Pm7zjzkL6WZmgGqEOr1_y1BwLTJ'}"
2761,frames_dataset/scenarios/4_ways_scenarios/scenario_2761,4 ways,7:53:59,morning,2761,1,no,sunny,,"{'frame_5.jpg': 'https://drive.google.com/uc?id=1_bcN5IVU0MrzKVwE91YzzuMz6o2johlP', 'frame_4.jpg': 'https://drive.google.com/uc?id=1_dEzunnb4AWJMF_8aQottHfFiYCAjevn', 'frame_3.jpg': 'https://drive.google.com/uc?id=1_fQMN6fr6pxacOGLFcaD5Ax1-OFQuXuB', 'frame_2.jpg': 'https://drive.google.com/uc?id=1_iXAmONZUuqIjMHPX7XSiFub0aJpkwoV', 'frame_1.jpg': 'https://drive.google.com/uc?id=1_lQ5oZ80eLJ8x-IttUMRHnYihOf320-K'}"
4210,frames_dataset/scenarios/4_ways_scenarios/scenario_4210,4 ways,10:00:06,morning,4210,3,no,sunny,,"{'frame_5.jpg': 'https://drive.google.com/uc?id=15V0s6dUXQah0olgJb4qv26wtOfZeP7CO', 'frame_4.jpg': 'https://drive.google.com/uc?id=15VvBsc_D2bcJLCy8Pgn-Qsk5xkivikWO', 'frame_3.jpg': 'https://drive.google.com/uc?id=15WCYUQUOT9qNH_gMAgPJx29Y3cG6TGMS', 'frame_2.jpg': 'https://drive.google.com/uc?id=15XeOTdCcUKEbHitlBuUG1iLrYE_sPXgc', 'frame_1.jpg': 'https://drive.google.com/uc?id=15ZAjvcH_kj8WwM0r8A-s4dlPVHQGf8ip'}"
